SL,title,company,location,salary,summary
366,Sr Embedded Software Engineer,Amazon.com Services LLC,"Hawthorne, CA",,"3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
367,Sr. Software Engineer (Starlink Test),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Test code for the software systems that control our hardware and run the network.
Invent new tools that enable more frequent and reliable software deployment,…"
368,Embedded Principal Software Engineer,Raytheon Intelligence & Space,"El Segundo, CA",,RIS is seeking an individual who understands ground segment development and has demonstrated successful technical leadership of a ground segment program.
369,"Sr Embedded Engineer, Device",Amazon.com Services LLC,"Hawthorne, CA",,"3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
370,"Artificial Intelligence (Full Stack Developer), Senior Consu...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Mentor and assist with training junior developers.
Experience mentoring and/or training junior developers.
Artificial Intelligence, Senior Consultant - (Full…"
371,Senior Consultant - DevOps - Nationwide Opportunities,"Amazon Web Services, Inc.","Los Angeles, CA",,"Bachelor Degree or equivalent professional or military experience.
8+ years of experience as a technical specialist."
372,Tools Programmer,"Operating Company ACTIVISION PUBLISHING, INC","Los Angeles, CA",,The Activision Central Technology (CT) team is seeking a Tools Programmer with a support focus on Continuous Integration and associated areas (such as backing…
373,"Site Reliability Engineer - Tanzu Observability Los Angeles,...",VMware,"Los Angeles, CA",,We are looking for someone who will play a key role in operating the world's best real-time data collection and visualization system and work closely with…
374,Software Engineer: System Security,SFOX,"Los Angeles, CA",,"You will work on making it easy to use Blockchains, secure our systems and improve our key management systems.
Masters degree is a plus."
375,Lead Senior Web and Graphics Software Developer,The Aerospace Corporation,"El Segundo, CA 90245",,"In an era of dynamic change in space, Aerospace is addressing a generation of complex challenges. We operate the only federally funded research and…"
376,DevOps Engineer,NEOGOV,"Los Angeles, CA",,NEOGOV is the market and technology leader in human resources software for the public sector. Our HR software automates the entire employee experience from…
377,Senior Security Software Engineer,Zynga,"Los Angeles, CA",,Job Description Zynga is currently seeking a Security Software Engineer to join our product-driven security engineering team. This team is responsible for…
378,DevOps Engineer,"J. Paul Getty Trust, The","Los Angeles, CA 90049 (Brentwood area)",,"Job Summary: As a DevOps Engineer, you will provide technical expertise in deploying applications to the Cloud and to internal systems. You will need to have…"
379,Principal Machine Learning Engineer,Headspace,"Santa Monica, CA 90404 (Pico District area)",,About the Principal Machine Learning Engineer at Headspace: We are looking for a highly technical and senior engineer to join our Machine Learning team. As a…
380,Cloud Engineer,USC,"Los Angeles, CA",,The University of Southern California’s (USC’s) Information Technology Services is seeking a talented Cloud Engineer with an exceptional commitment to service…
381,DevOps Engineer II,City National Bank,"Los Angeles, CA",,WHAT IS THE OPPORTUNITY? The DevOps Engineer plays a key role in City national Bank's DevOps transformation. This role will be part of a Continuous Delivery…
382,Cloud Enterprise DevOps Engineer,Streamlyne,"Los Angeles, CA",,"Job Type: Contract Streamlyne is a dynamic, fast-growing SaaS company that partners with university research departments and independent research institutions…"
383,SENIOR SOFTWARE ENGINEER / USER INTERFACES,FlightWave Aerospace Systems,"Santa Monica, CA",,"Department: Engineering Location: Santa Monica, CA Type: Full-time, salaried Citizenship: U.S. Citizen or Green Card holder Description: In this role you…"
384,Senior Software Engineer,NuORDER,"Los Angeles, CA",,"We’re looking for a Senior Software Engineer with extensive experience building high performance SaaS systems. In this role, you will be working cross…"
385,Software Developer,Clever Programmer,"Beverly Hills, CA 90212","$50,000 - $120,000 a year",We are looking for a new part-time (or full-time) team member to help us create the best coding education platform and community on the planet.
386,"Senior Software Engineer (El Segundo, CA)",Johns Hopkins Applied Physics Laboratory (APL),"El Segundo, CA 90245",,Have 7 years of experience working as a software developer and hands-on experience applying SAFe and DevSecOps on large software project.
387,Full Stack Principal Engineer,City National Bank,"Los Angeles, CA",,"Writing great quality code with a drive for automated testing and validation based on the You Build You Own (YBYO) model.
2+ years of Scaled agile experience."
388,"Software Engineer, Android - Remote",Postmates,"Santa Monica, CA",,"Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time.
Engineers have high impact and are relied upon to own end-to…"
389,Sr. Python Developer,mroads,"Cypress, CA",,"8-10+ years Python programming.
Ansible, Chef, Puppet, or Terraform.
Cable/telecom background, Go programming, Docker or other container technologies."
390,Site Reliability Engineer (Top Secret Clearance),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SpaceX is looking for an experienced Site Reliability Engineer to operate and scale custom-built mission-critical products for engineering, test, and launch to…"
391,Remote: Lead Principal AWS Software Engineer / Architect / V...,J2 Cloud Services,"Los Angeles, CA",,"Responsible for training and mentoring developers on the team and recommending actions around hiring, firing and promotions."
392,"Software Engineer, Backend",Postmates,"Los Angeles, CA",,"Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time.
Backend Engineers are part of a cross-functional team…"
393,"Software Engineer, Android",Postmates,"Santa Monica, CA",,"Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time.
Engineers have high impact and are relied upon to own end-to…"
394,Senior Site Reliability Engineer,SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"SpaceX is looking for an experienced Site Reliability Engineer to operate and scale custom-built mission-critical products for engineering, test, and launch."
395,"Software Engineer, Web",Postmates,"Los Angeles, CA",,"Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time.
Work closely with the design and product team to iterate on…"
396,Site Reliability Engineering Manager,Accenture,"Los Angeles, CA",,"They grow into delivery-focused roles, and can progress within their current role, laterally or upward.
The Performance Engineering practice within Accenture…"
397,Python Developer(back-end),"Shinetech Software, Inc.","Los Angeles, CA","$100,000 - $180,000 a year","The people you will work with including project managers, python developers, QA professionals and client teams to deliver good quality work."
398,Principal Embedded Security Design Engineer,Medtronic,"Northridge, CA 91325",,"What if you could use your Cyber and analytical skills to create, deploy and monitor security for medical devices used daily by patients?"
399,Python Web Developer,Hire Digital,"Los Angeles, CA 90094",,"Hands on experience in python web frameworks like Django and Flask.
Integration of user-facing elements developed by front-end developers with server-side logic…"
400,Software Developer,PassionHR,"Los Angeles, CA 90011",,"As a member of the software development team, you will support the development of virtualized software applications to emulate a satellite communications…"
401,Embedded / FPGA Cyber Engineer - MTS/Sr. MTS,The Aerospace Corporation,"El Segundo, CA 90245",,"Example projects might include integration of NSA crypto modules to cubesat platforms, security analysis and recommendations for government programs, and cyber…"
